query,metric,real_log,synth_log
pkg_power_by_country,avg_pkg_power_consumed,2.8283865826105172,1.566918200169046
pkg_power_by_country,avg_pkg_power_consumed,1.9245036067107946,1.328825438970865
pkg_power_by_country,avg_pkg_power_consumed,1.625200404487782,1.3007565145987228
pkg_power_by_country,avg_pkg_power_consumed,1.4376498705203682,1.2590853057001454
pkg_power_by_country,avg_pkg_power_consumed,1.428689680884557,1.6078719380865785
pkg_power_by_country,avg_pkg_power_consumed,1.1909741273280559,1.3436725395249312
pkg_power_by_country,avg_pkg_power_consumed,1.1700212349952113,1.425855685435222
pkg_power_by_country,avg_pkg_power_consumed,1.1044149661225708,1.273741319581927
pkg_power_by_country,avg_pkg_power_consumed,1.0906980218852078,1.1571282678841137
pkg_power_by_country,avg_pkg_power_consumed,1.0707568411791806,1.4713301212327097
pkg_power_by_country,avg_pkg_power_consumed,0.9931216226804239,1.5449865680645167
pkg_power_by_country,avg_pkg_power_consumed,0.9597691550815178,1.24576224332995
pkg_power_by_country,avg_pkg_power_consumed,0.9551050457662308,1.7152076661116307
pkg_power_by_country,avg_pkg_power_consumed,0.8868510657078869,1.233507106469111
pkg_power_by_country,avg_pkg_power_consumed,0.8443457539453285,1.4584711269264017
pkg_power_by_country,avg_pkg_power_consumed,0.8229500215749155,1.5870973521422285
pkg_power_by_country,avg_pkg_power_consumed,0.8147740343733849,1.3987387935302305
pkg_power_by_country,avg_pkg_power_consumed,0.7982593059711409,1.5054904832504865
pkg_power_by_country,avg_pkg_power_consumed,0.7887390371006443,1.5268057267495458
pkg_power_by_country,avg_pkg_power_consumed,0.7456405128780317,1.5678373029754977
pkg_power_by_country,avg_pkg_power_consumed,0.7331708071581322,1.3558761108865274
pkg_power_by_country,avg_pkg_power_consumed,0.7106863111086631,1.2954182316756577
pkg_power_by_country,avg_pkg_power_consumed,0.7095366850972754,1.4368387520838215
pkg_power_by_country,avg_pkg_power_consumed,0.6906653696108012,1.444667254351836
pkg_power_by_country,avg_pkg_power_consumed,0.6674186268192335,2.3468520170019493
pkg_power_by_country,avg_pkg_power_consumed,0.6521408463600825,1.5567405525956353
pkg_power_by_country,avg_pkg_power_consumed,0.630607240937865,1.2871655702375984
pkg_power_by_country,avg_pkg_power_consumed,0.6195297446531135,1.1871666472663678
pkg_power_by_country,avg_pkg_power_consumed,0.6082974831405233,1.4209985886914374
pkg_power_by_country,avg_pkg_power_consumed,0.6048407031487716,1.6288997045921711
pkg_power_by_country,avg_pkg_power_consumed,0.5773315807196608,1.1276856782956788
pkg_power_by_country,avg_pkg_power_consumed,0.5762064603107037,1.575224370424474
pkg_power_by_country,avg_pkg_power_consumed,0.552666915200999,1.2497319478150233
pkg_power_by_country,avg_pkg_power_consumed,0.5456675417353838,1.360511663138699
pkg_power_by_country,avg_pkg_power_consumed,0.5351452448477805,1.9210169306646303
pkg_power_by_country,avg_pkg_power_consumed,0.5157121982080505,1.4278049861375972
pkg_power_by_country,avg_pkg_power_consumed,0.5098981552314147,1.5136048739250114
pkg_power_by_country,avg_pkg_power_consumed,0.5045152692009923,0.8506100304710991
pkg_power_by_country,avg_pkg_power_consumed,0.49663931659902044,1.5617342825089187
pkg_power_by_country,avg_pkg_power_consumed,0.4774696598639082,1.3541745822683582
pkg_power_by_country,avg_pkg_power_consumed,0.4583374160856527,1.3292437378403976
pkg_power_by_country,avg_pkg_power_consumed,0.44467598339587566,1.1398013611501445
pkg_power_by_country,avg_pkg_power_consumed,0.3521083329565258,1.4482162332511443
pkg_power_by_country,avg_pkg_power_consumed,0.3374415530470498,1.3960336468479166
pkg_power_by_country,avg_pkg_power_consumed,0.3312220389018292,2.1212993040107553
pkg_power_by_country,avg_pkg_power_consumed,0.3176373229588196,1.091180293796012
pkg_power_by_country,avg_pkg_power_consumed,0.25413881992404197,2.3440801693931044
pkg_power_by_country,avg_pkg_power_consumed,0.2365539093535477,1.40337014025403
ram_utilization_histogram,avg_percentage_used,1.8325089127062364,1.724275869600789
ram_utilization_histogram,avg_percentage_used,1.863322860120456,1.724275869600789
ram_utilization_histogram,avg_percentage_used,1.8573324964312685,1.7323937598229686
ram_utilization_histogram,avg_percentage_used,1.8260748027008264,1.724275869600789
ram_utilization_histogram,avg_percentage_used,1.792391689498254,1.724275869600789
ram_utilization_histogram,avg_percentage_used,1.6532125137753437,1.7323937598229686
ram_utilization_histogram,avg_percentage_used,1.7853298350107671,1.724275869600789
ram_utilization_histogram,avg_percentage_used,1.7481880270062005,1.7708520116421442
ram_utilization_histogram,avg_percentage_used,1.7160033436347992,1.6901960800285136
ram_utilization_histogram,avg_percentage_used,1.7403626894942439,1.7323937598229686
ram_utilization_histogram,avg_percentage_used,1.7075701760979363,1.724275869600789
ram_utilization_histogram,avg_percentage_used,1.6127838567197355,1.7160033436347992
ram_utilization_histogram,avg_percentage_used,1.7403626894942439,1.7160033436347992
ram_utilization_histogram,avg_percentage_used,1.505149978319906,1.724275869600789
ram_utilization_histogram,avg_percentage_used,1.6812412373755872,1.7323937598229686
ram_utilization_histogram,avg_percentage_used,1.7481880270062005,1.6989700043360187
ram_utilization_histogram,avg_percentage_used,1.6812412373755872,1.7481880270062005
ram_utilization_histogram,avg_percentage_used,1.6127838567197355,1.7781512503836436
ram_utilization_histogram,avg_percentage_used,1.6334684555795864,1.7403626894942439
ram_utilization_histogram,avg_percentage_used,1.6434526764861874,1.7558748556724915
ram_utilization_histogram,avg_percentage_used,1.7708520116421442,1.7634279935629373
ram_utilization_histogram,avg_percentage_used,1.5797835966168101,1.7323937598229686
