query,metric,real_log,synth_log
pkg_power_by_country,avg_pkg_power_consumed,2.8283865826105172,0.0010793793912867201
pkg_power_by_country,avg_pkg_power_consumed,1.9245036067107946,0.0010163509376738412
pkg_power_by_country,avg_pkg_power_consumed,1.625200404487782,0.0008554488036153467
pkg_power_by_country,avg_pkg_power_consumed,1.4376498705203682,0.0011006869803437474
pkg_power_by_country,avg_pkg_power_consumed,1.428689680884557,0.0010977882955175767
pkg_power_by_country,avg_pkg_power_consumed,1.1909741273280559,0.0010562235576111563
pkg_power_by_country,avg_pkg_power_consumed,1.1700212349952113,0.001226995602194007
pkg_power_by_country,avg_pkg_power_consumed,1.1044149661225708,0.0009543647216858752
pkg_power_by_country,avg_pkg_power_consumed,1.0906980218852078,0.001050628750011829
pkg_power_by_country,avg_pkg_power_consumed,1.0707568411791806,0.001020379910118091
pkg_power_by_country,avg_pkg_power_consumed,0.9931216226804239,0.0009905819559160678
pkg_power_by_country,avg_pkg_power_consumed,0.9597691550815178,0.001059169285738784
pkg_power_by_country,avg_pkg_power_consumed,0.9551050457662308,0.0010425061738154721
pkg_power_by_country,avg_pkg_power_consumed,0.8868510657078869,0.0011539223028695785
pkg_power_by_country,avg_pkg_power_consumed,0.8443457539453285,0.0012197033232300338
pkg_power_by_country,avg_pkg_power_consumed,0.8229500215749155,0.0011474122922174221
pkg_power_by_country,avg_pkg_power_consumed,0.8147740343733849,0.0010567558514869909
pkg_power_by_country,avg_pkg_power_consumed,0.7982593059711409,0.0009840734583769929
pkg_power_by_country,avg_pkg_power_consumed,0.7887390371006443,0.000935816504773512
pkg_power_by_country,avg_pkg_power_consumed,0.7456405128780317,0.0011571989697863859
pkg_power_by_country,avg_pkg_power_consumed,0.7331708071581322,0.001217565833901513
pkg_power_by_country,avg_pkg_power_consumed,0.7106863111086631,0.0011131546759600565
pkg_power_by_country,avg_pkg_power_consumed,0.7095366850972754,0.0011584599006352208
pkg_power_by_country,avg_pkg_power_consumed,0.6906653696108012,0.001192278569227481
pkg_power_by_country,avg_pkg_power_consumed,0.6674186268192335,0.0011224388929452185
pkg_power_by_country,avg_pkg_power_consumed,0.6521408463600825,0.0010733712221674583
pkg_power_by_country,avg_pkg_power_consumed,0.630607240937865,0.0012441855228713925
pkg_power_by_country,avg_pkg_power_consumed,0.6195297446531135,0.0011335119969016387
pkg_power_by_country,avg_pkg_power_consumed,0.6082974831405233,0.0012226985491824213
pkg_power_by_country,avg_pkg_power_consumed,0.6048407031487716,0.0010715584578094037
pkg_power_by_country,avg_pkg_power_consumed,0.5773315807196608,0.00107414500416281
pkg_power_by_country,avg_pkg_power_consumed,0.5762064603107037,0.0012830564261778203
pkg_power_by_country,avg_pkg_power_consumed,0.552666915200999,0.0012661459157859865
pkg_power_by_country,avg_pkg_power_consumed,0.5456675417353838,0.0015452512737229446
pkg_power_by_country,avg_pkg_power_consumed,0.5351452448477805,0.0010569305059460756
pkg_power_by_country,avg_pkg_power_consumed,0.5157121982080505,0.0014907492772734863
pkg_power_by_country,avg_pkg_power_consumed,0.5098981552314147,0.001238187448666448
pkg_power_by_country,avg_pkg_power_consumed,0.5045152692009923,0.0011272631471218463
pkg_power_by_country,avg_pkg_power_consumed,0.49663931659902044,0.001079462433083611
pkg_power_by_country,avg_pkg_power_consumed,0.4774696598639082,0.0011231008170061016
pkg_power_by_country,avg_pkg_power_consumed,0.4583374160856527,0.0011341118740482966
pkg_power_by_country,avg_pkg_power_consumed,0.44467598339587566,0.0009974447265823508
pkg_power_by_country,avg_pkg_power_consumed,0.3521083329565258,0.0012461786931325294
pkg_power_by_country,avg_pkg_power_consumed,0.3374415530470498,0.0011882921345954744
pkg_power_by_country,avg_pkg_power_consumed,0.3312220389018292,0.0010323181303436106
pkg_power_by_country,avg_pkg_power_consumed,0.3176373229588196,0.001129299617821573
