app_type,exe_name,average_focal_sec_per_day,rank
System,psqueue.exe,23670.0,6
System,xyz.exe,22786.0,7
System,servermanager.exe,22756.0,8
System,printhubnotify.exe,21457.0,9
System,spacedeskwindowsviewer.exe,21218.0,10
Utilities + tools,bp budapest.exe,51934.0,1
Utilities + tools,pesar.exe,43781.0,2
Utilities + tools,mxmanagementcenter.exe,38872.0,3
Utilities + tools,ledvision.exe,32712.0,4
Utilities + tools,chemis32ui.exe,30119.0,5
Utilities + tools,e_tinvkke.exe,26842.0,6
Utilities + tools,adaptivevisionstudio.exe,22624.0,7
Utilities + tools,openbuildscontrol.exe,22455.0,8
Utilities + tools,onethingliteapp.exe,19941.0,9
Utilities + tools,epson projector professional tool.exe,19754.0,10
Web Browsing,librewolf.exe,36196.0,1
Web Browsing,"chrome,,.exe",32760.0,2
Web Browsing,"chrome,,,,.exe",32389.0,3
Web Browsing,sunbrowser.exe,29616.0,4
Web Browsing,chrome.....exe,24326.0,5
Web Browsing,firefoxcobb.exe,23951.0,6
Web Browsing,dissenter.exe,22981.0,7
Web Browsing,chrome (radeon).exe,20708.0,8
Web Browsing,chrome......exe,20084.0,9
Web Browsing,ibrowser.dll,19501.0,10
