os_name,os_codename,blocker_name,blocker_type,activity_level,number_of_clients,average_active_time_in_seconds,number_of_occurences
Win10,21H2,Intel(R) Wireless-AC 9560 160MHz (\_SB.PCI0.CNVW),Fx Device,moderate,242,191.13454119515586,5037
Win10,21H2,Lock Screen,Activator,low,1404,10.987729058699099,3782
Win10,21H2,WWAN Dormancy,Activator,low,80,60.745032846153826,1300
Win10,22H2,Intel(R) Xeon(R) E3 - 1200/1500 v5/6th Gen Intel(R) Core(TM) PCIe Controller (x16) - 1901 (\_SB.PCI0.PEG0),Fx Device,moderate,22,225.3876772583201,1262
Win11,21H2,Intel(R) Ethernet Connection (10) I219-LM (\_SB.PCI0.GLAN),Fx Device,high,12,4024.613225568181,176
Win11,21H2,Intel(R) PCI Express Root Port #8 - 02BF (\_SB.PCI0.RP08),Fx Device,low,5,133.48398103448272,116
Win10,21H1,TCPIP,Activator,high,44,1181.084835669362,4452
Win10,21H1,Standard NVM Express Controller (\_SB.PCI0.RP09.PXSX),Fx Device,low,102,24.714899727272716,9900
Win11,22H2,Intel(R) Ethernet Connection (10) I219-LM (\_SB.PCI0.GLAN),Fx Device,high,34,3887.181209879519,830
Win11,22H2,USB4(TM) Host Router (Microsoft) (\_SB.PC00.TDM0),Fx Device,low,341,94.53621383375362,36476
Win10,21H1,Intel(R) UHD Graphics (\_SB.PC00.GFX0),Fx Device,moderate,9,123.51046129032257,31
Win10,20H2,Intel(R) Wi-Fi 6 AX200 160MHz (\_SB.PCI0.RP09.PXSX),Fx Device,low,9,111.6708005628518,533
Win10,20H2,Intel(R) Serial IO I2C Host Controller - 34E9 (\_SB.ComputerNameMaskI0.I2C1),Fx Device,high,1,144.9197,1
Win11,22H2,Intel(R) Serial IO UART Host Controller - A0A8 (\_SB.PC00.UA00),Fx Device,low,225,47.69440027953327,32912
Win11,22H2,Intel(R) Precise Touch and Stylus (Intel(R) PTS) - Base Driver - Port #1 (\_SB.PC00.THC0),Fx Device,low,93,23.19605911330049,1015
Win10,20H2,Intel(R) PCI Express Root Port #3 - 43BA (\_SB.PC00.RP03),Fx Device,low,3,6.818965957446809,47
Win10,20H2,Intel(R) PEG10 - 9A01 (\_SB.PC00.PEG1),Fx Device,low,19,42.03076583229037,799
Win10,22H2,Intel(R) Wireless-AC 9560 160MHz (\_SB.PCI0.CNVW),Fx Device,low,726,46.75404602351655,99334
Win10,21H2,Intel(R) PEG60 - 464D (\_SB.PC00.PEG0),Fx Device,moderate,33,231.8422376569038,1434
Win10,22H2,Intel(R) PEG60 - 464D (\_SB.PC00.PEG0),Fx Device,high,39,2311.7263510396356,3078
Win10,20H2,Thunderbolt(TM) Controller - 9A1B (\_SB.PC00.TDM0),Fx Device,moderate,100,292.0238373626374,1820
Win10,21H2,Intel(R) Smart Sound Technologie-Audiocontroller (\_SB.PCI0.HDAS),Fx Device,high,60,977.1020372354499,3024
Win10,21H2,USB xHCI Compliant Host Controller (\_SB.ComputerNameMaskI0.XHC),Fx Device,high,1,59.8605,4
Win10,21H2,USB xHCI Compliant Host Controller (\_SB.ComputerMaskI0.XHC),Fx Device,low,1,2.2691,1
Win11,22H2,PCI Express Root Port (\_SB.PC00.TRP0),Fx Device,high,182,2940.2319547918173,5572
Win10,22H2,Audio Service,Activator,low,346,73.69923643270624,2764
Win11,22H2,Audio Service,Activator,moderate,185,452.17101100217866,918
Win10,22H2,Unregistered Device \_SB.PC00.TXHC,Fx Device,high,35,3837.0997434254614,2388
Win10,22H2,PCI Express Root Port (\_SB.PC00.TRP3),Fx Device,moderate,7,327.6946041666667,72
Win11,22H2,Killer(R) Wi-Fi 6 AX1650x 160MHz Wireless Network Adapter (200NGW) (\_SB.PCI0.RP01.PXSX),Fx Device,high,11,388.04397777777774,36
Win11,22H2,Intel(R) PCI Express Root Port #13 - 02B4 (\_SB.PCI0.RP13),Fx Device,moderate,64,313.9321,1158
Win10,20H2,Standard NVM Express Controller (\_SB.PC00.PEG0.PEGP),Fx Device,low,26,19.930954519932616,1781
Win10,20H2,Intel(R) Wi-Fi 6 AX201 160MHz (\_SB.PC00.CNVW),Fx Device,moderate,100,199.9305494075829,844
Win10,21H2,インテル® スマート・サウンド・テクノロジー BUS (\_SB.PC00.HDAS),Fx Device,high,18,2400.0845090909083,671
Win10,22H2,Intel(R) Serial IO I2C Host Controller - 9DE9 (\_SB.PCI0.I2C1),Fx Device,low,61,38.330909739655986,4302
Win10,22H2,Unregistered Device \_SB.PCI0.HDAS,Fx Device,high,87,3527.19389965326,2884
Win10,21H2,Intel(R) Chipset SATA/PCIe RST Premium Controller (\_SB.PC00.SAT0),Fx Device,low,3,45.92791640866875,323
Win10,19H2,Standard NVM Express Controller (\_SB.PCI0.RP13.PXSX),Fx Device,low,14,400.5176339768336,518
Win10,22H2,Device not registered,PEP Pre-Veto,moderate,73,287.2906835425383,717
Win11,22H2,Intel(R) Smart Sound Technology (Intel(R) SST) Audio Controller (\_SB.PC00.HDAS),Fx Device,moderate,405,437.95000366443884,8678
Win10,21H2,Intel(R) PEG60 - 9A09 (PCI\VEN_8086&DEV_9A09&SUBSYS_00000000&REV_01\3&11583659&0&30),Fx Device,low,10,76.48936170616113,1055
Win10,22H2,Intel(R) PCI Express Root Port #3 - 06BA (\_SB.PCI0.RP03),Fx Device,high,7,448.3212913580246,243
Win10,22H2,High Definition Audio Controller (\_SB.PCI0.HDAS),Fx Device,high,91,753.4107053731344,6700
Win10,21H2,Intel(R) PCI Express Root Port #1 - A0B8 (\_SB.PC00.RP01),Fx Device,low,48,64.11004229946523,3740
Win10,21H1,Intel(R) Serial IO UART Host Controller - 9D27 (\_SB.PCI0.UA00),Fx Device,moderate,3,71.36894444444445,9
Win10,20H1,Intel(R) PCI Express Root Port #1 - A338 (\_SB.PCI0.RP01),Fx Device,high,3,3014.7322235092543,1459
Win10,20H1,Shell Phase,PDC Phase,low,21,0.003000000000000001,59
Win10,22H2,Intel(R) Serial IO I2C Host Controller - A0E8 (\_SB.PC00.I2C0),Fx Device,low,101,30.018813741064335,2518
Win11,22H2,Intel(R) PEG60 - 9A09 (\_SB.UserIdMask00.PEG0),Fx Device,high,3,665.2101941176471,170
Win11,22H2,Kontroler audio technologii Intel(R) Smart Sound (\_SB.PC00.HDAS),Fx Device,high,11,2548.9099874999997,48
Win11,22H2,Intel(R) Smart Sound Technology Ses Denetleyicisi (\_SB.PC00.HDAS),Fx Device,moderate,13,525.8485391891893,296
Win11,21H2,Intel(R) PEG60 - 9A09 (\_SB.PC00.PEG0),Fx Device,moderate,192,803.3118978518758,3119
Win11,22H2,Intel(R) Smart Sound Technology Ses Denetleyicisi (\_SB.PCI0.HDAS),Fx Device,high,20,5057.2654483412325,422
Win10,22H2,Intel(R) Serial IO I2C Host Controller - 34E8 (\_SB.PCI0.I2C0),Fx Device,low,38,21.772885714285714,77
Win10,19H2,Intel(R) PCI Express Root Port #17 - A340 (\_SB.PCI0.RP17),Fx Device,high,4,11957.704020000001,90
Win10,22H2,Host Activity Manager,Activator,high,157,2911.449268929321,1429
Win11,22H2,Standard NVM Express Controller (\_SB.PCI0.RP05.PXSX),Fx Device,low,105,69.16303674835942,7467
Win11,22H2,Intel(R) Ethernet Connection (4) I219-LM (\_SB.PCI0.GLAN),Fx Device,moderate,4,571.1408594771242,306
Win10,21H1,Intel(R) Smart Sound technológia hangvezérlő (\_SB.PCI0.HDAS),Fx Device,low,2,46.632464052287595,153
Win10,21H2,Intel(R) Management Engine Interface #1 (\_SB.PCI0.HECI),Fx Device,low,108,58.026965420560735,963
Win10,21H1,Thunderbolt(TM) Controller - 9A1B (\_SB.PC00.TDM0),Fx Device,low,106,50.93812243346006,8153
Win10,21H1,Intel(R) Ethernet Connection (13) I219-V (\_SB.PC00.GLAN),Fx Device,high,9,471.5021183544304,158
Win11,22H2,Unregistered Device \_SB.PCI0.SAT0.VOL0,Fx Device,high,17,8004.443479018833,2283
Win11,21H2,Intel(R) Serial IO I2C Host Controller - A0E8 (\_SB.PC00.I2C0),Fx Device,low,26,50.56619130434782,253
Win11,21H2,GP,Activator,low,98,87.22029252336448,428
Win10,22H2,Intel(R) PCI Express Root Port #9 - A0B0 (\_SB.PC00.RP09),Fx Device,high,253,1846.3575452523392,24907
Win10,19H2,BI,Activator,high,77,7581.475989888953,1711
Win10,19H2,WNS,Activator,moderate,45,445.90902874251486,334
Win10,19H2,File Sharing Server,Activator,low,10,73.99316896551724,87
Win10,22H2,Intel(R) Smart Sound Technology (Intel(R) SST) Audio Controller (\_SB.PC00.HDAS),Fx Device,moderate,191,270.71621085867616,5590
Win10,20H2,Windows Push Notifications,Activator,low,116,68.0774168175938,773
Win11,22H2,Connection Phase,PDC Phase,moderate,40,715.5230900000001,100
Win11,22H2,Intel(R) Wireless-AC 9560 (\_SB.PCI0.CNVW),Fx Device,low,182,46.486610474335784,21567
Win10,22H2,DSM Function invoked,PEP Pre-Veto,low,79,12.334686993243245,1184
Win11,22H2,Intel(R) Serial IO I2C Host Controller - 9D61 (\_SB.PCI0.I2C1),Fx Device,low,36,41.41653276836157,354
Win11,22H2,インテル® スマート・サウンド・テクノロジー BUS (\_SB.PC00.HDAS),Fx Device,moderate,43,466.890708912656,561
Win10,22H2,PCI Express Root Port (\_SB.PCI0.RP13),Fx Device,high,4,2783.9596721649486,1746
Win11,21H2,Intel(R) Iris(R) Xe Graphics (\_SB.PC00.GFUserIdMask),Fx Device,low,1,14.302959999999999,5
Win11,21H2,Mobile 6th/7th Generation Intel(R) Processor Family I/O PCI Express Root Port #5 - 9D14 (\_SB.PCI0.RP05),Fx Device,low,18,134.68560595238097,168
Win10,22H2,DHCP,Activator,loUserIdMask,1,219.68385555555557,36
Win10,22H2,Intel(R) UHD Graphics (\_SB.PCI0.GFX0),Fx Device,loUserIdMask,1,139.37539230769232,26
Win10,22H2,Intel(R) PCI Express Root Port #17 - 06C0 (\_SB.PCI0.RP17),Fx Device,moderate,27,372.4420332167832,286
Win10,22H2,Intel(R) Wi-Fi 6E AX211 160MHz (\_SB.PC00.CNVW),Fx Device,moderate,30,170.16337461139898,193
Win10,22H2,Intel(R) Smart Sound-teknik ljudstyrenhet (\_SB.PCI0.HDAS),Fx Device,low,37,20.48534651919323,3074
Win11,22H2,Intel(R) Ethernet Connection (16) I219-V (\_SB.PC00.GLAN),Fx Device,high,10,484.2479476190477,63
Win10,20H1,DHCP,Activator,moderate,28,177.02341071428575,560
Win10,22H2,Intel(R) PCI Express Root Port #1 - A0B8 (\_SB.PC00.RP01),Fx Device,moderate,18,268.7485160762942,367
