app_type,exe_name,total_number_of_detections,rank
Utilities + tools,snippingtool.exe,6760503.0,1
Utilities + tools,winrar.exe,3215954.0,2
Utilities + tools,mspaint.exe,3023514.0,3
Utilities + tools,utorrent.exe,2069676.0,4
Utilities + tools,cmd.exe,1797629.0,5
Utilities + tools,idman.exe,1599914.0,6
Utilities + tools,totalcmd64.exe,978191.0,7
Utilities + tools,cnext.exe,831078.0,8
Utilities + tools,qbittorrent.exe,772881.0,9
Utilities + tools,onedrive.exe,734944.0,10
Web Browsing,chrome.exe,231703579.0,1
Web Browsing,msedge.exe,37359624.0,2
Web Browsing,firefox.exe,36862379.0,3
Web Browsing,opera.exe,19092085.0,4
Web Browsing,iexplore.exe,13698625.0,5
Web Browsing,brave.exe,6999184.0,6
Web Browsing,browser.exe,2956688.0,7
Web Browsing,whale.exe,1704769.0,8
Web Browsing,vivaldi.exe,779026.0,9
Web Browsing,qqbrowser.exe,434849.0,10
