query,column,metric_type,method_value,baseline_value,method_error,baseline_error,normalized_error,method
Xeon_network_consumption,avg_bytes_received,median_relative_error,0.9999999999998463,0.9999399533092179,0.9999999999998463,0.9999399533092179,1.00006005029645,widetable
Xeon_network_consumption,avg_bytes_sent,median_relative_error,0.9999999999998368,0.9999749970043232,0.9999999999998368,0.9999749970043232,1.000025003620679,widetable
Xeon_network_consumption,group_coverage,jaccard,0.5714285714285714,0.875,0.4285714285714286,0.125,3.428571428571429,widetable
Xeon_network_consumption,number_of_systems,median_relative_error,21.707070707070706,0.1111111111111111,21.707070707070706,0.1111111111111111,195.36363636363637,widetable
avg_platform_power_c0_freq_temp_by_chassis,avg_freq_mhz,median_relative_error,0.9999965258154596,0.25904500663400115,0.9999965258154596,0.25904500663400115,3.860319636380145,widetable
avg_platform_power_c0_freq_temp_by_chassis,avg_pkg_c0,median_relative_error,0.999470853704973,0.28511095585148255,0.999470853704973,0.28511095585148255,3.5055504995241518,widetable
avg_platform_power_c0_freq_temp_by_chassis,avg_psys_rap_watts,median_relative_error,0.9995210041379066,0.6152896344262119,0.9995210041379066,0.6152896344262119,1.624472359379188,widetable
avg_platform_power_c0_freq_temp_by_chassis,avg_temp_centigrade,median_relative_error,0.9999366017948426,0.0730158673393404,0.9999366017948426,0.0730158673393404,13.694784958831603,widetable
avg_platform_power_c0_freq_temp_by_chassis,number_of_systems,median_relative_error,1161.439655172414,0.05,1161.439655172414,0.05,23228.79310344828,widetable
battery_power_on_geographic_summary,avg_duration,median_relative_error,0.9991667478231065,0.05938791010147264,0.9991667478231065,0.05938791010147264,16.82441335477017,widetable
battery_power_on_geographic_summary,avg_number_of_dc_powerons,median_relative_error,0.9704818593113193,0.04449363519852995,0.9704818593113193,0.04449363519852995,21.811700819252987,widetable
battery_power_on_geographic_summary,group_coverage,jaccard,0.74,0.9583333333333334,0.26,0.04166666666666663,6.2400000000000055,widetable
battery_power_on_geographic_summary,number_of_systems,median_relative_error,30.77310924369748,0.028368794326241134,30.77310924369748,0.028368794326241134,1084.7521008403362,widetable
most_popular_browser_in_each_country_by_system_count,browser,categorical_accuracy,0.8235294117647058,0.9803921568627451,0.17647058823529416,0.019607843137254943,8.999999999999982,widetable
persona_web_cat_usage_analysis,content_creation_photo_edit_creation,median_relative_error,26.672131147540984,0.7292576419213974,26.672131147540984,0.7292576419213974,36.57435947776578,widetable
persona_web_cat_usage_analysis,content_creation_video_audio_edit_creation,median_relative_error,48.0,0.4444444444444445,48.0,0.4444444444444445,107.99999999999999,widetable
persona_web_cat_usage_analysis,content_creation_web_design_development,median_relative_error,7.354651162790699,0.23026315789473678,7.354651162790699,0.23026315789473678,31.940199335548186,widetable
persona_web_cat_usage_analysis,days,median_relative_error,0.8138802982994353,0.05910682424909113,0.8138802982994353,0.05910682424909113,13.769650266939356,widetable
persona_web_cat_usage_analysis,education,median_relative_error,1.615769712140175,0.07218212104386458,1.615769712140175,0.07218212104386458,22.384625012034252,widetable
persona_web_cat_usage_analysis,entertainment_music_audio_streaming,median_relative_error,8.119402985074627,0.27424749163879597,8.119402985074627,0.27424749163879597,29.606115762650166,widetable
persona_web_cat_usage_analysis,entertainment_other,median_relative_error,0.736612973443622,0.22188969645147497,0.736612973443622,0.22188969645147497,3.3197259053653796,widetable
persona_web_cat_usage_analysis,entertainment_video_streaming,median_relative_error,0.3333333333333333,0.03686914475672405,0.3333333333333333,0.03686914475672405,9.040983606557385,widetable
persona_web_cat_usage_analysis,finance,median_relative_error,5.850771869639796,0.15326633165829145,5.850771869639796,0.15326633165829145,38.17388859207605,widetable
persona_web_cat_usage_analysis,games_other,median_relative_error,4.048,0.31984897518878097,4.048,0.31984897518878097,12.65597301854975,widetable
persona_web_cat_usage_analysis,games_video_games,median_relative_error,180.2,0.2857142857142857,180.2,0.2857142857142857,630.7,widetable
persona_web_cat_usage_analysis,mail,median_relative_error,0.2843894899536321,0.04011887072808324,0.2843894899536321,0.04011887072808324,7.088671360696084,widetable
persona_web_cat_usage_analysis,news,median_relative_error,1.4683760683760685,0.18752886836027718,1.4683760683760685,0.18752886836027718,7.830133468064501,widetable
persona_web_cat_usage_analysis,number_of_systems,median_relative_error,13.166447464562326,0.03842869342442357,13.166447464562326,0.03842869342442357,342.62022180005516,widetable
persona_web_cat_usage_analysis,private,median_relative_error,0.7378978610172962,0.11271562345983256,0.7378978610172962,0.11271562345983256,6.546544643655847,widetable
persona_web_cat_usage_analysis,productivity_other,median_relative_error,4.342333654773385,0.12085137085137085,4.342333654773385,0.12085137085137085,35.93119071949798,widetable
persona_web_cat_usage_analysis,productivity_presentations,median_relative_error,12.714285714285715,0.24358974358974364,12.714285714285715,0.24358974358974364,52.1954887218045,widetable
persona_web_cat_usage_analysis,productivity_programming,median_relative_error,5.5318627450980395,0.25833333333333336,5.5318627450980395,0.25833333333333336,21.413662239089184,widetable
persona_web_cat_usage_analysis,productivity_project_management,median_relative_error,21.711111111111112,0.6363636363636364,21.711111111111112,0.6363636363636364,34.11746031746032,widetable
persona_web_cat_usage_analysis,productivity_spreadsheets,median_relative_error,2.6105675146771037,0.1530054644808743,2.6105675146771037,0.1530054644808743,17.061923399496788,widetable
persona_web_cat_usage_analysis,productivity_word_processing,median_relative_error,4.1466666666666665,0.27038626609442046,4.1466666666666665,0.27038626609442046,15.336084656084664,widetable
persona_web_cat_usage_analysis,recreation_travel,median_relative_error,4.9529411764705875,0.14845938375350137,4.9529411764705875,0.14845938375350137,33.362264150943396,widetable
persona_web_cat_usage_analysis,reference,median_relative_error,3.5239316239316243,0.12044817927170864,3.5239316239316243,0.12044817927170864,29.25682766845559,widetable
persona_web_cat_usage_analysis,search,median_relative_error,0.1981737765729775,0.08517520215633419,0.1981737765729775,0.08517520215633419,2.326660478119452,widetable
persona_web_cat_usage_analysis,shopping,median_relative_error,0.4734794908062235,0.10075757575757575,0.4734794908062235,0.10075757575757575,4.699194946347482,widetable
persona_web_cat_usage_analysis,social_communication,median_relative_error,2.795024875621891,0.20600414078674956,2.795024875621891,0.20600414078674956,13.567809195229879,widetable
persona_web_cat_usage_analysis,social_communication_live,median_relative_error,2.1634877384196187,0.1660714285714286,2.1634877384196187,0.1660714285714286,13.02745304854824,widetable
persona_web_cat_usage_analysis,social_social_network,median_relative_error,0.6871063970831952,0.16732477788746286,0.6871063970831952,0.16732477788746286,4.106423482273022,widetable
