query,mst,pe_conditional,pertable,widetable
Xeon_network_consumption,439.4489728956674,3.4618218535594467,4.318077564283948,50.19807321153123
avg_platform_power_c0_freq_temp_by_chassis,,,,4650.295646180479
battery_on_duration_cpu_family_gen,477.6107368811563,10.913507427850732,17.5059030009414,
battery_power_on_geographic_summary,344.18360328096287,14.491731409380971,4.122219887034798,282.4070537535898
display_devices_connection_type_resolution_durations_ac_dc,3927.239200470106,,15.666666666666671,
display_devices_vendors_percentage,26.142399562907706,,42.28073433475396,
mods_blockers_by_osname_and_codename,60.71785547488355,,22.687734412338784,
most_popular_browser_in_each_country_by_system_count,2.9999999999999942,42.99999999999991,3.9999999999999942,8.999999999999982
on_off_mods_sleep_summary_by_cpu_marketcodename_gen,11710.61809926354,9.522291287224316,24.275343639031462,
persona_web_cat_usage_analysis,31.99152350092736,9.192269841192223,3.2575761015993296,54.933575646943474
pkg_power_by_country,0.8652910022212295,3.571457906514814,2.7803349951246936,634.0943674082208
popular_browsers_by_count_usage_percentage,50.11287816868099,112.80223051357736,91.62557761728642,115.26822255162453
ram_utilization_histogram,91.65708739839248,1.525131168839441,32.81099938138955,30.166053003821997
server_exploration_1,34.24019764691248,,28.25985132642658,
top_10_applications_by_app_type_ranked_by_focal_time,1.0922509885312484,,0.9831370695369267,
top_10_applications_by_app_type_ranked_by_system_count,5.018450350962661,,43.54065135582367,
top_10_applications_by_app_type_ranked_by_total_detections,2.2507613214932105,,5.443250255580338,
top_mods_blocker_types_durations_by_osname_and_codename,44.8604800394402,,2.3760642048981375,
userwait_top_10_wait_processes,1.0,,1.0,
userwait_top_10_wait_processes_wait_type_ac_dc,0.8571428571428572,,0.8571428571428572,
userwait_top_20_wait_processes_compare_ac_dc_unknown_durations,1.0,,1.0,
