query,query_type,column,metric_type,value,passed,detail
Xeon_network_consumption,aggregate,group_coverage,jaccard,0.875,True,"7/8 real groups matched, 7 synth groups total"
Xeon_network_consumption,aggregate,number_of_systems,median_relative_error,0.1111111111111111,True,"median RE=0.1111, mean RE=0.1051, n_groups=7"
Xeon_network_consumption,aggregate,avg_bytes_received,median_relative_error,0.9999399533092179,False,"median RE=0.9999, mean RE=1.7512, n_groups=7"
Xeon_network_consumption,aggregate,avg_bytes_sent,median_relative_error,0.9999749970043232,False,"median RE=1.0000, mean RE=2.6409, n_groups=7"
avg_platform_power_c0_freq_temp_by_chassis,aggregate,group_coverage,jaccard,1.0,True,"4/4 real groups matched, 4 synth groups total"
avg_platform_power_c0_freq_temp_by_chassis,aggregate,number_of_systems,median_relative_error,0.05,True,"median RE=0.0500, mean RE=0.1500, n_groups=4"
avg_platform_power_c0_freq_temp_by_chassis,aggregate,avg_psys_rap_watts,median_relative_error,0.6152896344262119,False,"median RE=0.6153, mean RE=0.7266, n_groups=4"
avg_platform_power_c0_freq_temp_by_chassis,aggregate,avg_pkg_c0,median_relative_error,0.28511095585148255,False,"median RE=0.2851, mean RE=0.4076, n_groups=4"
avg_platform_power_c0_freq_temp_by_chassis,aggregate,avg_freq_mhz,median_relative_error,0.25904500663400115,False,"median RE=0.2590, mean RE=0.3334, n_groups=4"
avg_platform_power_c0_freq_temp_by_chassis,aggregate,avg_temp_centigrade,median_relative_error,0.0730158673393404,True,"median RE=0.0730, mean RE=0.1170, n_groups=4"
battery_on_duration_cpu_family_gen,aggregate,group_coverage,jaccard,1.0,True,"12/12 real groups matched, 12 synth groups total"
battery_on_duration_cpu_family_gen,aggregate,number_of_systems,median_relative_error,0.0444026890561859,True,"median RE=0.0444, mean RE=0.0557, n_groups=12"
battery_on_duration_cpu_family_gen,aggregate,avg_duration_mins_on_battery,median_relative_error,0.038414842323032876,True,"median RE=0.0384, mean RE=0.0580, n_groups=12"
battery_power_on_geographic_summary,aggregate,group_coverage,jaccard,0.9583333333333334,True,"23/23 real groups matched, 24 synth groups total"
battery_power_on_geographic_summary,aggregate,number_of_systems,median_relative_error,0.028368794326241134,True,"median RE=0.0284, mean RE=0.0469, n_groups=23"
battery_power_on_geographic_summary,aggregate,avg_number_of_dc_powerons,median_relative_error,0.04449363519852995,True,"median RE=0.0445, mean RE=0.0485, n_groups=23"
battery_power_on_geographic_summary,aggregate,avg_duration,median_relative_error,0.05938791010147264,True,"median RE=0.0594, mean RE=0.0849, n_groups=23"
display_devices_connection_type_resolution_durations_ac_dc,aggregate,group_coverage,jaccard,0.9361702127659575,True,"308/315 real groups matched, 322 synth groups total"
display_devices_connection_type_resolution_durations_ac_dc,aggregate,number_of_systems,median_relative_error,0.05454545454545454,True,"median RE=0.0545, mean RE=0.0801, n_groups=308"
display_devices_connection_type_resolution_durations_ac_dc,aggregate,average_duration_on_ac_in_seconds,median_relative_error,0.3228875835910989,False,"median RE=0.3229, mean RE=0.7657, n_groups=308"
display_devices_connection_type_resolution_durations_ac_dc,aggregate,average_duration_on_dc_in_seconds,median_relative_error,0.5451844382670314,False,"median RE=0.5452, mean RE=inf, n_groups=308"
display_devices_vendors_percentage,distribution,percentage_of_systems,total_variation,0.0031715652398815177,True,"TV=0.0032, 21 categories"
mods_blockers_by_osname_and_codename,aggregate,group_coverage,jaccard,1.0,True,"10/10 real groups matched, 10 synth groups total"
mods_blockers_by_osname_and_codename,aggregate,num_entries,median_relative_error,0.06262955256648833,True,"median RE=0.0626, mean RE=0.1019, n_groups=10"
