query,query_type,column,metric_type,value,passed,detail
Xeon_network_consumption,aggregate,group_coverage,jaccard,0.6666666666666666,True,"8/8 real groups matched, 12 synth groups total"
Xeon_network_consumption,aggregate,number_of_systems,median_relative_error,0.461845280568272,False,"median RE=0.4618, mean RE=2.0708, n_groups=8"
Xeon_network_consumption,aggregate,avg_bytes_received,median_relative_error,1719.2793148884955,False,"median RE=1719.2793, mean RE=634771.4646, n_groups=8"
Xeon_network_consumption,aggregate,avg_bytes_sent,median_relative_error,31.589269423473947,False,"median RE=31.5893, mean RE=664437.6935, n_groups=8"
avg_platform_power_c0_freq_temp_by_chassis,aggregate,group_coverage,jaccard,0.0,False,"0/4 real groups matched, 0 synth groups total"
avg_platform_power_c0_freq_temp_by_chassis,aggregate,number_of_systems,relative_error,inf,False,no overlapping groups
avg_platform_power_c0_freq_temp_by_chassis,aggregate,avg_psys_rap_watts,relative_error,inf,False,no overlapping groups
avg_platform_power_c0_freq_temp_by_chassis,aggregate,avg_pkg_c0,relative_error,inf,False,no overlapping groups
avg_platform_power_c0_freq_temp_by_chassis,aggregate,avg_freq_mhz,relative_error,inf,False,no overlapping groups
avg_platform_power_c0_freq_temp_by_chassis,aggregate,avg_temp_centigrade,relative_error,inf,False,no overlapping groups
battery_on_duration_cpu_family_gen,aggregate,group_coverage,jaccard,0.15384615384615385,False,"8/14 real groups matched, 46 synth groups total"
battery_on_duration_cpu_family_gen,aggregate,number_of_systems,median_relative_error,0.8048270807554658,False,"median RE=0.8048, mean RE=0.7590, n_groups=8"
battery_on_duration_cpu_family_gen,aggregate,avg_duration_mins_on_battery,median_relative_error,35.99838876139563,False,"median RE=35.9984, mean RE=37.4642, n_groups=8"
battery_power_on_geographic_summary,aggregate,group_coverage,jaccard,0.8780487804878049,True,"36/37 real groups matched, 40 synth groups total"
battery_power_on_geographic_summary,aggregate,number_of_systems,median_relative_error,0.1893839820586564,True,"median RE=0.1894, mean RE=0.2214, n_groups=36"
battery_power_on_geographic_summary,aggregate,avg_number_of_dc_powerons,median_relative_error,39.71055712440443,False,"median RE=39.7106, mean RE=40.6483, n_groups=36"
battery_power_on_geographic_summary,aggregate,avg_duration,median_relative_error,28.187406984369495,False,"median RE=28.1874, mean RE=29.9596, n_groups=36"
display_devices_connection_type_resolution_durations_ac_dc,aggregate,group_coverage,jaccard,0.014598540145985401,False,"8/431 real groups matched, 125 synth groups total"
display_devices_connection_type_resolution_durations_ac_dc,aggregate,number_of_systems,median_relative_error,0.9472871730953847,False,"median RE=0.9473, mean RE=0.9476, n_groups=8"
display_devices_connection_type_resolution_durations_ac_dc,aggregate,average_duration_on_ac_in_seconds,median_relative_error,1828.4348491116739,False,"median RE=1828.4348, mean RE=2198.8859, n_groups=8"
display_devices_connection_type_resolution_durations_ac_dc,aggregate,average_duration_on_dc_in_seconds,median_relative_error,5459.145519735353,False,"median RE=5459.1455, mean RE=6616.3028, n_groups=8"
display_devices_vendors_percentage,distribution,percentage_of_systems,total_variation,0.08291232574081187,True,"TV=0.0829, 21 categories"
mods_blockers_by_osname_and_codename,aggregate,group_coverage,jaccard,0.6875,True,"11/11 real groups matched, 16 synth groups total"
mods_blockers_by_osname_and_codename,aggregate,num_entries,median_relative_error,0.9415249175578226,False,"median RE=0.9415, mean RE=0.9221, n_groups=11"
mods_blockers_by_osname_and_codename,aggregate,number_of_systems,median_relative_error,3.7011739594450375,False,"median RE=3.7012, mean RE=14.0636, n_groups=11"
mods_blockers_by_osname_and_codename,aggregate,entries_per_system,median_relative_error,0.9857382009295804,False,"median RE=0.9857, mean RE=0.9831, n_groups=11"
most_popular_browser_in_each_country_by_system_count,ranking_categorical,browser,categorical_accuracy,0.9411764705882353,True,48/51 countries correct (51 overlapping)
on_off_mods_sleep_summary_by_cpu_marketcodename_gen,aggregate,group_coverage,jaccard,0.21428571428571427,False,"15/27 real groups matched, 58 synth groups total"
on_off_mods_sleep_summary_by_cpu_marketcodename_gen,aggregate,number_of_systems,median_relative_error,0.7931844888366627,False,"median RE=0.7932, mean RE=0.7851, n_groups=15"
on_off_mods_sleep_summary_by_cpu_marketcodename_gen,aggregate,avg_on_time,median_relative_error,40.171486342168706,False,"median RE=40.1715, mean RE=44.7816, n_groups=15"
on_off_mods_sleep_summary_by_cpu_marketcodename_gen,aggregate,avg_off_time,median_relative_error,45.14149528494707,False,"median RE=45.1415, mean RE=45.6121, n_groups=15"
on_off_mods_sleep_summary_by_cpu_marketcodename_gen,aggregate,avg_modern_sleep_time,median_relative_error,113.3586063517098,False,"median RE=113.3586, mean RE=inf, n_groups=15"
