processor_class,os,number_of_systems,avg_bytes_received,avg_bytes_sent
Server Class,Win10,147,5799328426478.258,1374490710637.4458
Server Class,Win11,12,394894584155.86115,104384954616.66626
Server Class,Win Server,29,3678307612706.97,1891728532043.9019
Non-Server Class,Win10,14107,1428419739155.791,409887834542.00793
Non-Server Class,Win11,4323,1555782946154.713,647792702444.7859
Non-Server Class,Win8.1,16,1152989328779.3945,188397953131.11118
Non-Server Class,Win Server,27,15859650274247.014,13174979987218.203
