ram_gb,count(DISTINCT guid),avg_percentage_used
1.0,2,81.0
2.0,339,68.0
3.0,112,71.0
4.0,6199,71.0
5.0,21,66.0
6.0,832,61.0
7.0,9,44.0
8.0,13001,60.0
9.0,2,52.0
10.0,70,54.0
11.0,1,54.0
12.0,1433,50.0
14.0,12,42.0
15.0,1,31.0
16.0,9659,47.0
18.0,3,48.0
20.0,127,47.0
22.0,2,33.0
24.0,287,44.0
28.0,9,62.0
32.0,2359,38.0
36.0,3,25.0
40.0,25,42.0
48.0,42,48.0
52.0,1,21.0
56.0,3,16.0
64.0,322,32.0
72.0,1,38.0
80.0,1,25.0
96.0,6,61.0
104.0,1,5.0
128.0,46,30.0
160.0,1,41.0
192.0,1,13.0
256.0,3,6.0
288.0,2,14.0
384.0,1,4.0
512.0,1,20.0
528.0,1,3.0
2048.0,1,56.0
