vendor_name,number_of_systems,total_number_of_systems,percentage_of_systems
Other,100029,104596,95.63
Dell,13274,104596,12.69
HP,8282,104596,7.92
Acer,2349,104596,2.25
LG,13856,104596,13.25
Philips,1363,104596,1.3
MI ,1174,104596,1.12
VIZIO,4,104596,0.0
Oneplus,11,104596,0.01
Lenovo,13,104596,0.01
MSI,1190,104596,1.14
Asus,3150,104596,3.01
Samsung,10251,104596,9.8
BenQ,4031,104596,3.85
Sony,3461,104596,3.31
Viewsonic,162,104596,0.15
AOC,83,104596,0.08
Hisense,554,104596,0.53
TCL,186,104596,0.18
Redmi,113,104596,0.11
Sansui,3,104596,0.0
