app_type,exe_name,total_number_of_detections,rank
Communication,outlook.exe,41045793.0,1
Communication,teams.exe,8261037.0,2
Communication,zoom.exe,8003799.0,3
Communication,thunderbird.exe,1940624.0,4
Communication,lync.exe,1567828.0,5
Communication,slack.exe,1550952.0,6
Communication,atmgr.exe,509811.0,7
Communication,dingtalk.exe,301220.0,8
Communication,mailclient.exe,214963.0,9
Communication,notes2.exe,196176.0,10
Developer tools,code.exe,2119857.0,1
Developer tools,devenv.exe,2098855.0,2
Developer tools,notepad++.exe,1421615.0,3
Developer tools,idea64.exe,806143.0,4
Developer tools,ssms.exe,627936.0,5
Developer tools,dreamweaver.exe,620594.0,6
Developer tools,putty.exe,549845.0,7
Developer tools,studio64.exe,403312.0,8
Developer tools,overwolf.exe,389595.0,9
Developer tools,microsoft.dynamics.nav.client.exe,356725.0,10
Entertainment,vlc.exe,2804018.0,1
Entertainment,spotify.exe,2329924.0,2
Entertainment,wmplayer.exe,983390.0,3
Entertainment,mpc-hc64.exe,635912.0,4
Entertainment,potplayermini64.exe,584090.0,5
Entertainment,itunes.exe,560959.0,6
Entertainment,hd-player.exe,465290.0,7
Entertainment,gom.exe,344478.0,8
Entertainment,thunder.exe,210974.0,9
Entertainment,linemediaplayer.exe,191820.0,10
Gaming,leagueclientux.exe,3351075.0,1
Gaming,robloxplayerbeta.exe,2379905.0,2
Gaming,league of legends.exe,1873631.0,3
Gaming,nox.exe,1531786.0,4
Gaming,valorant-win64-shipping.exe,1166275.0,5
Gaming,runelite.exe,1157733.0,6
Gaming,wow.exe,886754.0,7
Gaming,fortniteclient-win64-shipping.exe,753262.0,8
Gaming,pokerstars.exe,742818.0,9
Gaming,csgo.exe,691987.0,10
Gaming auxiliary,steam.exe,7064469.0,1
Gaming auxiliary,steamwebhelper.exe,1049784.0,2
Gaming auxiliary,bluestacks.exe,1047299.0,3
Gaming auxiliary,battle.net.exe,738432.0,4
Gaming auxiliary,epicgameslauncher.exe,715187.0,5
Gaming auxiliary,origin.exe,479445.0,6
Gaming auxiliary,garena.exe,333517.0,7
Gaming auxiliary,memu.exe,332435.0,8
Gaming auxiliary,rustclient.exe,197420.0,9
Gaming auxiliary,blitz.exe,172431.0,10
Installers + Updaters,msiexec.exe,151574.0,1
Installers + Updaters,softwareupdatenotificationservice.exe,38556.0,2
Installers + Updaters,setup.exe,35875.0,3
Installers + Updaters,hmc.exe,25040.0,4
Installers + Updaters,intel-driver-and-support-assistant-installer.exe,24480.0,5
Installers + Updaters,updater.exe,21452.0,6
Installers + Updaters,installer.exe,17329.0,7
Installers + Updaters,update.exe,14585.0,8
Installers + Updaters,foxitreaderupdater.exe,11415.0,9
Installers + Updaters,setup.tmp,11033.0,10
Lifestyle,m42t.exe,1368949.0,1
Lifestyle,webmed.exe,254138.0,2
Lifestyle,terminal.exe,251668.0,3
Lifestyle,profitchart.exe,244070.0,4
Lifestyle,qw.exe,224201.0,5
Lifestyle,ledger.exe,184834.0,6
Lifestyle,bplus.wtk2.exe,180822.0,7
Lifestyle,calibre.exe,169711.0,8
Lifestyle,eclinicalworks.exe,158277.0,9
Lifestyle,terminal64.exe,149583.0,10
Multimedia,photoshop.exe,9196581.0,1
Multimedia,illustrator.exe,3141985.0,2
