os_name,os_codename,blocker_name,blocker_type,activity_level,number_of_clients,average_active_time_in_seconds,number_of_occurences
Win11,22H2,Qualcomm Atheros QCA61x4A Wireless Network Adapter (\_SB.PCI0.RP05.PXSX),Fx Device,high,3,6690.045650952378,210
Win11,22H2,PDC Suspend/Resume and Network-Refresh Activator,Activator,low,4705,2.8254479557492087,308695
Win11,22H2,Qualcomm Atheros QCA61x4A Wireless Network Adapter (\_SB.PCI0.RP05.PXSX),Fx Device,low,14,98.1622933888599,1921
Win11,22H2,BI,Activator,low,6301,161.8843939016418,504841
Win11,22H2,Intel(R) Wi-Fi 6 AX201 160MHz (\_SB.PC00.CNVW),Fx Device,high,673,4897.068136602225,19242
Win11,22H2,Intel(R) Iris(R) Xe Graphics (\_SB.PC00.GFX0),Fx Device,high,881,2427.4152593368535,14989
Win11,22H2,Intel(R) PCI Express Root Port #9 - A0B0 (\_SB.PC00.RP09),Fx Device,moderate,235,411.53285008130064,6150
Win10,22H2,Mobile Intel(R) Processor Family I/O PCI Express Root Port #9 - 9D18 (\_SB.PCI0.RP09),Fx Device,high,19,2234.6614065309573,2358
Win10,22H2,Intel(R) Dual Band Wireless-AC 8265 (\_SB.PCI0.RP01.PXSX),Fx Device,moderate,19,254.6385670673077,416
Win10,22H2,Intel(R) UHD Graphics 620 (\_SB.PCI0.GFX0),Fx Device,moderate,194,166.4543381382737,2213
Win10,22H2,Intel(R) Serial IO I2C Host Controller - 9D60 (\_SB.PCI0.I2C0),Fx Device,moderate,2,158.34614285714287,14
Win11,22H2,Low Power Phase,PDC Phase,low,7168,5.368739453374991,1232835
Win11,22H2,Intel(R) Iris(R) Xe Graphics (\_SB.PC00.GFX0),Fx Device,low,2599,32.23490937577758,144724
Win11,22H2,Intel® Smart Sound Technology BUS (\_SB.PC00.HDAS),Fx Device,low,1590,36.875203730841456,191887
Win11,22H2,Intel(R) Wi-Fi 6 AX201 160MHz (\_SB.PC00.CNVW),Fx Device,low,2085,70.97041235265229,371402
Win11,22H2,WP Location Client,Activator,low,4529,31.464545808965983,421841
Win10,20H2,Intel(R) Wi-Fi 6 AX201 160MHz (\_SB.PCI0.CNVW),Fx Device,low,134,39.22337493800259,13307
Win10,20H2,DHCP,Activator,low,256,80.01619810679628,6180
