proc_name,ac_duration,dc_duration,unknown_duration
GlyphClientApp.exe,209.96,3.06,2.8
AmazonPhotos.exe,2.5,1941.96,5.82
PrivacyIconClient.exe,3.02,2.2,227.48
,317.9,2.63,24.89
pdfeditor.exe,1.48,2.34,428.67
tposd.exe,83.16,48.88,250.03
WRSA.exe,1.95,0.96,181.76
TomTom MyDrive Connect.exe,363.08,4.45,5.05
garminexpressinstaller.exe,94.1,3.93,91.06
cis.exe,2.07,3.04,333.91
RtlS5Wake.exe,6.28,3.47,144.81
ScanToPCActivationApp.exe,280.07,5.74,6.63
MySQLInstallerConsole.exe,3.34,4.43,1009.68
PSUAConsole.exe,39.14,8.54,99.91
FxSound.exe,61.96,1245.93,77.03
Cuphead.exe,111.74,166.59,6.25
RelicCardinal_ws.exe,7.37,535.03,5.35
YandexDisk2.exe,481.49,0.74,2.72
py.exe,17.57,8.56,244.73
Avira.Spotlight.UI.Application.Messaging.exe,2.43,1.22,101.63
