os_name,os_codename,blocker_name,blocker_type,activity_level,number_of_clients,average_active_time_in_seconds,number_of_occurences
Win11,22H2,Intel(R) TypeC PCIe - 462F (\_SB.PC00.TRP2),Fx Device,moderate,1,225.5377,19
Win11,22H2,USB xHCI Compliant Host Controller (\_SB.PC00.TXHC),Fx Device,moderate,222,544.2200585267409,1982
Win11,22H2,WU,Activator,moderate,3713,574.2109297063782,13657
Win11,22H2,Intel(R) PEG60 - 464D (\_SB.PC00.PEG0),Fx Device,high,78,1473.8886143542957,4166
Win10,21H2,Standard NVM Express Controller (\_SB.PC00.PEG0.PEGP),Fx Device,low,104,45.241312421335664,16367
Win10,21H2,WNS,Activator,low,1840,69.37702349498159,50913
Win11,22H2,WNS,Activator,moderate,1745,651.5887124125231,13575
Win10,22H2,Intel(R) UHD Graphics (\_SB.PCI0.GFX0),Fx Device,low,924,39.92002603030559,113049
Win10,22H2,WU,Activator,high,2205,2815.2031622012923,44065
Win10,21H2,Intel(R) Serial IO UART Host Controller - 34A8 (\_SB.PCI0.UA00),Fx Device,low,169,14.25019797698365,16510
Win10,21H2,Intel(R) Wi-Fi 6 AX201 160MHz (\_SB.PCI0.CNVW),Fx Device,moderate,300,192.00661237433732,5471
Win10,21H2,WP Location Client,Activator,high,69,1070.0836743634763,1139
Win10,21H2,WP Location Client,Activator,low,699,35.256083946209756,8403
Win10,21H2,WU,Activator,high,1685,3706.3507754160028,29808
Win11,21H2,Lock Screen,Activator,low,1468,10.349235132789458,5761
Win11,21H2,PDC Suspend/Resume and Network-Refresh Activator,Activator,low,1722,2.2964987566559456,36997
Win11,21H2,Intel(R) Smart Sound Technology (Intel(R) SST) Audio Controller (\_SB.PC00.HDAS),Fx Device,low,243,43.40825711808564,5767
Win11,21H2,Intel(R) Wi-Fi 6 AX201 160MHz (\_SB.PC00.CNVW),Fx Device,low,821,75.88303365115844,38281
Win11,21H2,Maintenance Phase,PDC Phase,high,2267,2331.731086936996,28952
Win11,21H2,PLM Phase,PDC Phase,low,1726,0.5414896065045661,13037
Win11,21H2,WNS,Activator,low,2538,56.49615322487478,83104
Win10,22H2,Intel(R) PCI Express Root Port #4 - A0BB (\_SB.PC00.RP04),Fx Device,low,56,16.235208288249293,4621
Win10,21H2,Image Download Manager,Activator,moderate,778,251.9435507782459,5461
Win10,21H2,Universal Telemetry Client,Activator,high,144,507.15819485165827,1146
Win10,21H2,USB xHCI Compliant Host Controller (\_SB.PC00.TXHC),Fx Device,low,370,42.0003925271739,8096
Win10,22H2,DHCP,Activator,low,2353,96.01394121527156,52910
Win11,21H2,BI,Activator,low,2258,145.70607808198835,60375
Win10,22H2,Intel® Smart Sound Technology BUS (\_SB.PC00.HDAS),Fx Device,low,694,28.169779543945797,55739
Win10,22H2,Intel(R) PCI Express Root Port #4 - A0BB (\_SB.PC00.RP04),Fx Device,high,31,1141.9866711726381,614
Win11,22H2,PLM Phase,PDC Phase,high,2874,614.1430585820293,12666
Win10,21H1,Intel(R) PCI Express Root Port #1 - A0B8 (\_SB.PC00.RP01),Fx Device,high,3,2451.3530726495737,351
Win10,21H1,Intel(R) PEG60 - 9A09 (\_SB.PC00.PEG0),Fx Device,moderate,10,320.28700533333335,225
Win10,21H1,Intel(R) Wi-Fi 6 AX201 160MHz (\_SB.PC00.CNVW),Fx Device,low,101,28.249286339982657,6918
Win10,21H1,Low Power Phase,PDC Phase,low,353,5.428002688439696,30129
Win10,21H1,USB xHCI Compliant Host Controller (\_SB.PC00.XHCI),Fx Device,low,98,23.87044439876671,2919
Win10,21H1,Image Download Manager,Activator,moderate,68,298.9799167812932,727
Win10,21H1,Thunderbolt(TM) Controller - 9A1B (\_SB.PC00.TDM0),Fx Device,low,50,61.63752005401747,2962
Win10,21H2,USB xHCI Compliant Host Controller (\_SB.PC00.XHCI),Fx Device,high,970,1968.465780749209,78002
Win10,21H2,Intel(R) PCI Express Root Port #1 - A0B8 (\_SB.PC00.RP01),Fx Device,low,25,58.316705137614754,2180
Win10,21H1,Intel(R) PCI Express Root Port #1 - A0B8 (\_SB.PC00.RP01),Fx Device,low,5,70.3687716049383,81
Win11,21H2,Intel(R) PEG10 - 460D (\_SB.PC00.PEG1),Fx Device,high,35,2161.356437587656,713
Win11,21H2,USB4(TM) Host Router (Microsoft) (\_SB.PC00.TDM0),Fx Device,moderate,32,251.87166517857153,224
Win11,21H2,High Definition Audio Controller (\_SB.PC00.HDAS),Fx Device,high,15,458.0238781914894,188
Win10,21H2,Universal Telemetry Client,Activator,low,862,97.8107938775511,6321
Win11,21H2,Intel(R) Ethernet Connection (16) I219-LM (\_SB.PC00.GLAN),Fx Device,moderate,11,605.5519533898305,118
Win11,21H2,Update Orchestrator Client,Activator,low,1659,101.58686552561583,17294
Win11,21H2,BI,Activator,high,1542,7348.088906298684,19131
Win11,21H2,WP Location Client,Activator,low,1603,32.01492058748918,39422
Win11,21H2,WU,Activator,moderate,683,754.9427371549892,1413
Win11,21H2,DHCP,Activator,moderate,747,451.7832948492836,3417
Win11,21H2,Intel(R) PEG10 - 460D (\_SB.PC00.PEG1),Fx Device,low,56,67.90101366906472,1946
Win11,21H2,USB xHCI Compliant Host Controller (\_SB.PC00.TXHC),Fx Device,moderate,41,1081.448234751773,282
Win11,21H2,Universal Telemetry Client,Activator,low,1244,66.9497598438856,8071
Win10,21H2,Intel(R) Wi-Fi 6 AX201 160MHz (\_SB.PC00.CNVW),Fx Device,high,256,1109.0032305428272,5674
Win10,21H2,Intel(R) Smart Sound Technologie-Audiocontroller (\_SB.PC00.HDAS),Fx Device,moderate,4,124.08635833333335,12
Win10,21H2,USB xHCI Compliant Host Controller (\_SB.PCI0.TXHC),Fx Device,low,105,26.96360524600849,3069
Win10,21H1,Lock Screen,Activator,low,40,10.134704761904763,84
Win11,22H2,Intel(R) Wi-Fi 6 AX201 160MHz (\_SB.PCI0.CNVW),Fx Device,low,1475,80.79527755425168,272751
Win11,22H2,Intel(R) Smart Sound Technology (Intel(R) SST) Audio Controller (\_SB.PCI0.HDAS),Fx Device,low,1607,55.778983276081355,141480
Win11,22H2,Find My Device,Activator,low,1723,226.70034401772526,3385
Win10,21H2,Standard NVM Express Controller (\_SB.PCI0.RP09.PXSX),Fx Device,moderate,96,222.05661420256106,859
Win11,22H2,Intel(R) PEG10 - 460D (\_SB.PC00.PEG1),Fx Device,low,128,80.82712543597673,10379
Win10,21H1,BI,Activator,low,185,67.93530813421455,5901
Win10,21H1,BI,Activator,high,155,1823.1667007615922,6040
Win10,21H2,Device not registered,PEP Pre-Veto,low,89,39.98097583643123,269
Win11,22H2,Find My Device,Activator,high,967,351.1231916256159,1421
Win11,22H2,Intel(R) PCI Express Root Port #8 - A0BF (\_SB.PC00.RP08),Fx Device,low,383,66.14006152115088,70210
Win11,22H2,Disk drive (\_SB.PCI0.SAT0.PRT2),Fx Device,low,5,167.52299597069592,546
Win10,21H1,Maintenance Phase,PDC Phase,high,212,2843.018359519726,2915
Win11,22H2,USB xHCI Compliant Host Controller (\_SB.PCI0.XHC),Fx Device,low,2870,62.92550326449238,211212
Win11,21H2,TCPIP,Activator,low,1676,30.762601871921078,22330
Win11,21H2,CPU C0 Time.Non-attributed Time,Processor,low,1643,31.552617037947417,19527
Win11,21H2,Intel® Smart Sound Technology BUS (\_SB.PC00.HDAS),Fx Device,low,569,23.693498052610117,19616
Win11,22H2,Cortana Voice Activation,Activator,low,792,103.76699249832555,1493
Win11,22H2,Disk drive (\_SB.PCI0.SAT0.PRT2),Fx Device,high,3,7299.33508295626,663
Win11,22H2,Intel(R) UHD Graphics 630 (\_SB.PCI0.GFX0),Fx Device,low,292,142.97779948530848,26035
Win11,21H2,PCI Express Root Port (\_SB.PC00.PEG0),Fx Device,moderate,35,748.1330881076392,1152
Win11,22H2,Intel(R) PCI Express Root Port #10 - A0B1 (\_SB.PC00.RP10),Fx Device,low,324,68.08523921056512,47097
Win11,22H2,Intel(R) PEG10 - 460D (\_SB.PC00.PEG1),Fx Device,high,101,3555.227864522026,5471
Win11,22H2,Intel(R) PCI Express Root Port #1 - A0B8 (\_SB.PC00.RP01),Fx Device,low,34,77.14196673845412,4179
Win11,22H2,Intel(R) Serial IO UART Host Controller - A0A8 (\_SB.PC00.UA00),Fx Device,low,123,51.345244778134784,21477
Win11,21H2,PCI Express Root Port (\_SB.PC00.TRP0),Fx Device,low,36,136.4181577464789,284
Win10,21H1,TCPIP,Activator,low,64,110.01379980638913,1033
Win10,21H1,Intel(R) Iris(R) Xe Graphics (\_SB.PC00.GFX0),Fx Device,moderate,17,181.00006240601505,266
Win11,22H2,CPU C0 Time.Non-attributed Time,Processor,moderate,809,484.47610572819224,5342
Win11,22H2,Intel® Smart Sound Technology BUS (\_SB.PC00.HDAS),Fx Device,high,684,3392.965325906675,14614
Win11,21H2,USB xHCI Compliant Host Controller (\_SB.PC00.XHCI),Fx Device,moderate,324,347.0732338961042,1540
Win11,21H2,Intel(R) Wi-Fi 6E AX211 160MHz (\_SB.PC00.CNVW),Fx Device,low,48,60.35592378576175,3006
Win11,21H2,Intel(R) PEG60 - 464D (\_SB.PC00.PEG0),Fx Device,moderate,43,520.5086955928646,953
Win11,21H2,WP Location Client,Activator,high,114,3059.1425654761892,924
Win11,22H2,Intel(R) UHD Graphics 620 (\_SB.PCI0.GFX0),Fx Device,low,774,56.41570620769058,72974
Win11,22H2,Intel(R) PCI Express Root Port #8 - A0BF (\_SB.PC00.RP08),Fx Device,high,153,2727.7709803740695,3903
Win11,22H2,NCSI,Activator,moderate,2406,282.806573831719,16306
Win10,21H2,Host Activity Manager,Activator,high,69,5163.454581237115,485
Win10,21H2,TCPIP,Activator,moderate,289,301.3312431705978,3646
Win10,21H2,Intel(R) Smart Sound Technologie-audiocontroller (\_SB.PCI0.HDAS),Fx Device,low,28,24.648638267875125,993
Win11,22H2,Intel(R) Wi-Fi 6E AX211 160MHz (\_SB.PC00.CNVW),Fx Device,moderate,72,507.93481011235997,1246
Win10,21H2,Surface Serial Hub Driver (\_SB.SSH),Fx Device,moderate,19,168.27688448275865,58
Win11,22H2,High Definition Audio Controller (\_SB.PC00.HDAS),Fx Device,high,53,2494.1923567084095,559
Win11,22H2,Intel(R) Ethernet Connection (16) I219-LM (\_SB.PC00.GLAN),Fx Device,high,22,1226.9704044077132,726
Win11,21H2,Update Orchestrator Client,Activator,high,1540,5848.439421442613,10689
Win11,21H2,GP,Activator,low,51,107.4605394366197,213
