app_type,exe_name,average_focal_sec_per_day,rank
Communication,zoomrooms.exe,38626.0,1
Communication,adiirc.exe,37539.0,2
Communication,flex-communicator.exe,32278.0,3
Communication,front.exe,23110.0,4
Communication,bittitandmaoutlookconfiguratorapplication.exe,22963.0,5
Communication,tcfemailminer22.exe,18892.0,6
Communication,zrairhost.exe,13481.0,7
Communication,emailparserui.exe,13375.0,8
Communication,polymail.exe,11572.0,9
Communication,register360.exe,11264.0,10
Developer tools,bsp.exe,51581.0,1
Developer tools,electron.exe,36862.0,2
Developer tools,ifrun60.exe,20418.0,3
Developer tools,prowc.exe,18099.0,4
Developer tools,omnis.exe,15775.0,5
Developer tools,hwx.exe,14576.0,6
Developer tools,flowframes.exe,14484.0,7
Developer tools,build.exe,12986.0,8
Developer tools,miplatform320u.exe,12445.0,9
Developer tools,xplatform.exe,9625.0,10
Entertainment,player.exe,57376.0,1
Entertainment,runic.exe,50593.0,2
Entertainment,plex htpc.exe,44809.0,3
Entertainment,plexmediaplayer.exe,42789.0,4
Entertainment,winyl.exe,31778.0,5
Entertainment,station.exe,29365.0,6
Entertainment,kwailive.exe,28420.0,7
Entertainment,flixgrab.exe,26644.0,8
Entertainment,rfidtripodstr.exe,20863.0,9
Entertainment,roon.exe,20040.0,10
Gaming,apgame.exe,62356.0,1
Gaming,btb game bay.exe,35088.0,2
Gaming,evotvapp.exe,34816.0,3
Gaming,dqb2.exe,33211.0,4
Gaming,endlesswar.exe,32574.0,5
Gaming,atlasgame.exe,28100.0,6
Gaming,infraspace.exe,26351.0,7
Gaming,sevenheroes.exe,24180.0,8
Gaming,rf4s.exe,23434.0,9
Gaming,fly corp.exe,23007.0,10
Gaming auxiliary,7daystodieserver.exe,33010.0,1
Gaming auxiliary,mir4g.exe,31458.0,2
Gaming auxiliary,otclient_dx.exe,22144.0,3
Gaming auxiliary,lotroclient64.exe,20351.0,4
Gaming auxiliary,mobaxterm_personal_20.6.exe,19712.0,5
Gaming auxiliary,fahcontrol.exe,19293.0,6
Gaming auxiliary,bedrock_server.exe,17072.0,7
Gaming auxiliary,es.exe,15781.0,8
Gaming auxiliary,rustclient.exe,15116.0,9
Gaming auxiliary,naverbooks.exe,14751.0,10
Installers + Updaters,supernova.client.appinstaller.exe,55442.0,1
