processor_class,os,number_of_systems,avg_bytes_received,avg_bytes_sent
Non-Server Class,Win10,14044,1.0585550530383186e+16,1.0584441187884378e+16
Non-Server Class,Win11,4279,2.5909553480671932e+16,2.590860354569407e+16
Non-Server Class,Win Server,31,2842067404678.139,1801667948484.2197
Non-Server Class,n/a,3,196591994969.28333,30642123470.903088
Non-Server Class,Win8.1,18,267935866678.49603,21034627277.47165
Server Class,Win10,150,1.2592273583962916e+18,1.2592250983207716e+18
Server Class,Win Server,23,13845369734636.791,2901503474084.652
Server Class,Win11,15,1098492361979.6761,799742438783.1394
