marketcodename,cpugen,number_of_systems,avg_on_time,avg_off_time,avg_modern_sleep_time,avg_sleep_time,avg_total_time,avg_pcnt_on_time,avg_pcnt_off_time,avg_pcnt_mods_time,avg_pcnt_sleep_time
Coffee Lake,9th Gen i5,1329,34388.91,18776.72,451.17,30026.55,83643.35,41.11,22.45,0.54,35.9
Comet Lake,10th Gen i5,2499,31438.19,17842.1,4227.06,30060.54,83567.9,37.62,21.35,5.06,35.97
Tiger Lake,11th Gen i3,475,23474.54,12030.19,12413.89,36819.39,84738.0,27.7,14.2,14.65,43.45
Ice Lake,10th Gen i5,763,25960.15,10905.03,5271.29,40650.43,82786.91,31.36,13.17,6.37,49.1
Coffee Lake,9th Gen i9,329,36286.15,20609.58,93.55,26807.54,83796.82,43.3,24.59,0.11,31.99
Alder Lake,12th Gen i7,312,35106.71,21171.87,2388.84,26522.4,85189.83,41.21,24.85,2.8,31.13
Alder Lake,12th Gen i5,378,31820.49,22633.39,736.53,30024.79,85215.2,37.34,26.56,0.86,35.23
Comet Lake,Pentium/Celeron-Comet Lake,111,29238.06,16573.6,0.0,39179.19,84990.84,34.4,19.5,0.0,46.1
Coffee Lake,9th Gen i3,206,40396.15,14005.46,0.0,29238.36,83639.97,48.3,16.74,0.0,34.96
Comet Lake,10th Gen i3,695,33090.64,16880.58,3917.27,29726.45,83614.94,39.58,20.19,4.68,35.55
Gemini Lake Refresh,Pentium/Celeron-Gemini Lake Refresh,191,32879.2,12485.27,0.0,39389.55,84754.03,38.79,14.73,0.0,46.48
Unknown,Unknown,1866,30921.98,17717.22,1029.91,35428.37,85097.47,36.34,20.82,1.21,41.63
Rocket Lake,11th Gen i7,270,37529.43,15921.8,65.75,31674.52,85191.5,44.05,18.69,0.08,37.18
Ice Lake,10th Gen i7,428,25694.56,9528.97,13422.76,34513.14,83159.43,30.9,11.46,16.14,41.5
Tiger Lake,11th Gen i7,1507,24729.35,12534.11,14316.37,33366.92,84946.75,29.11,14.76,16.85,39.28
Tiger Lake,11th Gen i5,1982,24564.74,14316.82,13746.31,32273.84,84901.71,28.93,16.86,16.19,38.01
Comet Lake,10th Gen i7,1928,32610.67,14169.43,5333.91,31499.12,83613.13,39.0,16.95,6.38,37.67
Coffee Lake,Pentium/Celeron-Coffee Lake,149,36077.14,18843.68,0.0,30119.92,85040.74,42.42,22.16,0.0,35.42
Coffee Lake,9th Gen i7,1317,35494.58,15282.32,1166.15,31642.37,83585.42,42.47,18.28,1.4,37.86
Ice Lake,10th Gen i3,364,22489.42,17260.45,851.6,42116.66,82718.12,27.19,20.87,1.03,50.92
Rocket Lake,11th Gen i5,429,32571.9,19001.25,267.06,33327.13,85167.35,38.24,22.31,0.31,39.13
Comet Lake,10th Gen i9,216,35926.12,18441.29,1327.7,28262.83,83957.94,42.79,21.96,1.58,33.66
