guid,nrs,received_bytes,sent_bytes,chassistype,vendor,model,ram,os,number_of_cores
287f97e7d4fd4f3c9e25b8f9f6f6c503,1875962.0,233179162425.0,3015973156170.0,Notebook,Other,TBD by OEM,16.0,Win11,4
28df21591c21403b9d4ca0f17b386570,1660780.0,1257597986100.0,1687938759565.0,Desktop,Unknown,To Be Filled By O.E.M.,12.0,Win10,4
28f47215fe4a4303b546c1ae473d13f9,975018.0,474272484850.0,566147953580.0,Desktop,MSI,MS-7D08,16.0,Win10,10
28fc263888e3413c8f581a54a6c4eed7,4049078.0,245714031040.0,854679927740.0,Desktop,Lenovo,ThinkCentre M70s,64.0,Win11,6
2902464533894d30af329ad3e263c2c7,5187960.0,11421926970.0,17282926060.0,Desktop,Asus,System Version,64.0,Win10,8
2aa332f39b4d4721a2059f5215d3fc30,5725568.0,1115308762500.0,2999699937965.0,Desktop,Unknown,To Be Filled By O.E.M.,8.0,Win10,2
2aee099968f742e8885a6fecaac29bae,2274430.0,168844581805.0,836981372125.0,Notebook,Dell,Precision 5530,16.0,Win11,6
2af4bffb3f8f4ad7bf29f7b7e4f20f4a,1022792.0,3444238763870.0,7894418710215.0,Desktop,Unknown,Other,16.0,Win10,4
2b94dfc18add43868f4df9f1c0654c1c,5869002.0,7746222900.0,50053072620.0,Desktop,Unknown,To Be Filled By O.E.M.,8.0,Win10,4
2bbc3e30a5fe4eb9a3d4e4debfca318a,614710.0,265998553945.0,526717130525.0,Desktop,Unknown,Other,16.0,Win10,4
2bee6d048cf5460db8f5849202f40762,1880924.0,452394116595.0,729634134900.0,Notebook,HP,HP Laptop 14s-dq0xxx,4.0,Win11,2
2c157cf0f594449fb65bcd1a690b330b,835402.0,119527588885.0,232196934665.0,Desktop,Asus,System Product Name,32.0,Win10,12
2ca67fa5b9824235933d9858033267a0,8012730.0,259685903335.0,427492303000.0,2 in 1,Lenovo,ThinkPad X1 Carbon Gen 8,16.0,Win10,4
2cd9e4d780d44f2a941f7633619cf385,2204161.0,771665493970.0,1147249179920.0,Desktop,Alienware,Alienware Area-51 R5,64.0,Win11,18
2d1da7c0aec049468d47e32ca5cc8f65,8114848.0,40763510785.0,97123934500.0,Intel NUC/STK,Intel,NUC7i7DNKE,8.0,Win11,4
2d7f4b2184f849d099537667300002c0,981788.0,99189088850.0,123481448565.0,Notebook,Dell,Precision 7720,48.0,Win10,4
2db7dea4e22a471985f14d6ee00c03b8,708654.0,38146514720.0,40866644055.0,Notebook,HP,HP Pavilion Notebook,8.0,Win10,2
